geometry;commune;libelle;code-postal;objectid;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [3.1121726697828, 50.588317056654]}";LESQUIN;LA POSTE;59810;835;50.5883170567, 3.11217266978
"{""type"": ""Point"", ""coordinates"": [3.0932881126936, 50.704220585425]}";BONDUES;LA POSTE;59910;298;50.7042205854, 3.09328811269
"{""type"": ""Point"", ""coordinates"": [2.9004246671274, 50.562750190816]}";SAINGHIN EN WEPPES;LA POSTE;59184;1505;50.5627501908, 2.90042466713
"{""type"": ""Point"", ""coordinates"": [3.0503010037285, 50.660781657733]}";SAINT-ANDRE;LA POSTE;59350;1538;50.6607816577, 3.05030100373
"{""type"": ""Point"", ""coordinates"": [3.0505855362794, 50.588003821338]}";WATTIGNIES;LA POSTE;59139;1853;50.5880038213, 3.05058553628
"{""type"": ""Point"", ""coordinates"": [3.0739147593142, 50.667458225711]}";MARCQ-EN-BAROEUL;LA POSTE;59700;5640;50.6674582257, 3.07391475931
"{""type"": ""Point"", ""coordinates"": [3.0534420278637, 50.623352092256]}";LILLE;LA POSTE WAZEMMES;59000;4729;50.6233520923, 3.05344202786
"{""type"": ""Point"", ""coordinates"": [3.2146974714436, 50.700405349241]}";WATTRELOS;LA POSTE CENTRE;59150;1921;50.7004053492, 3.21469747144
"{""type"": ""Point"", ""coordinates"": [3.0216798267549, 50.638889973474]}";LAMBERSART;LA POSTE;59130;6466;50.6388899735, 3.02167982675
"{""type"": ""Point"", ""coordinates"": [3.0415309046825, 50.619149807621]}";LILLE;LA POSTE ESQUERMES;59000;6392;50.6191498076, 3.04153090468
"{""type"": ""Point"", ""coordinates"": [3.1273064731328, 50.637355055102]}";VILLENEUVE D'ASCQ;LA POSTE;59650;19020;50.6373550551, 3.12730647313
"{""type"": ""Point"", ""coordinates"": [3.185234579632, 50.673928999437]}";ROUBAIX;LA POSTE;59100;18940;50.6739289994, 3.18523457963
"{""type"": ""Point"", ""coordinates"": [3.0479649177578, 50.614139007854]}";LILLE;LA POSTE LILLE SUD;59000;18281;50.6141390079, 3.04796491776
"{""type"": ""Point"", ""coordinates"": [2.9676421496806, 50.614956135303]}";HALLENNES-LEZ-HAUBOURDIN;LA POSTE;59320;18380;50.6149561353, 2.96764214968
"{""type"": ""Point"", ""coordinates"": [3.1589331407922, 50.730690879764]}";TOURCOING;LA POSTE RUE DE GAND;59200;18983;50.7306908798, 3.15893314079
"{""type"": ""Point"", ""coordinates"": [3.0462369548708, 50.77203557173]}";WERVICQ-SUD;LA POSTE;59117;19760;50.7720355717, 3.04623695487
