Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Coordonnee X;Coordonnee Y;Latitude;Longitude;Appariement;Localisation;Code nature uai;Nature uai;Etat établissement;Libellé état établissement;Code département;Code région;Code académie;Position
0592665B;Ecole maternelle Marceline Desbordes-Valmore;ECOLE MATERNELLE PUBLIQUE;MARCELINE DESBORDES-VALMORE;Public;3 rue Jules Ferry;;;59790;RONCHIN;706234.8;7055914.0;50.60026092268983;3.087918131315434;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6002609227, 3.08791813132
0592693G;Ecole maternelle Paul Durot;ECOLE MATERNELLE PUBLIQUE;PAUL DUROT;Public;Rue de Burgault;;;59113;SECLIN;702821.7;7050042.4;50.54758777157492;3.039747677655915;Parfaite;Rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.5475877716, 3.03974767766
0592723P;Ecole primaire Maurice Bonnot;ECOLE PRIMAIRE PUBLIQUE;MAURICE BONNOT;Public;10 RUE D AUSTERLITZ;;;59200;TOURCOING;710877.0;7069075.2;50.718304690551705;3.153739910075063;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7183046906, 3.15373991008
0592728V;Ecole primaire Victor Hugo-Sévigné;ECOLE PRIMAIRE PUBLIQUE;VICTOR HUGO-SEVIGNE;Public;1  RUE ALBERT CHATELET;;;59120;LOOS;700752.5;7056618.8;50.60661696539143;3.010612489376133;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6066169654, 3.01061248938
0592824Z;Ecole maternelle Albert Camus;ECOLE MATERNELLE PUBLIQUE;ALBERT CAMUS;Public;37 rue Jules Verne;;;59100;ROUBAIX;713029.0;7065993.4;50.69060946067286;3.1840555124279057;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6906094607, 3.18405551243
0592835L;Ecole maternelle Marceline Desbordes-Valmore;ECOLE MATERNELLE PUBLIQUE;MARCELINE DESBORDES-VALMORE;Public;Rue Albert Châtelet;;;59120;LOOS;700752.2;7056488.0;50.605443083693764;3.0106080106660387;Parfaite;Rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6054430837, 3.01060801067
0592905M;Collège privé Sainte Marie;COLLEGE PRIVE;SAINTE MARIE;Privé;54 RUE SAINT ANTOINE;;;59100;ROUBAIX;712528.8;7066653.0;50.69653860802696;3.1770102976090353;Parfaite;Numéro de rue;340;Collège;1;Ouvert;59;32;09;50.696538608, 3.17701029761
0592911U;Collège privé Saint Joseph;COLLEGE PRIVE;SAINT JOSEPH;Privé;52 rue CHANZY;;;59350;ST ANDRE LEZ LILLE;703807.4;7062860.2;50.66261770765896;3.0537555858204732;Parfaite;Numéro de rue;340;Collège;1;Ouvert;59;32;09;50.6626177077, 3.05375558582
0592932S;Lycée général privé Sainte Marie;LYCEE GENERAL PRIVE;SAINTE MARIE;Privé;31 RUE DE L'EGLISE;;BP27;59134;BEAUCAMPS LIGNY;694238.5;7056094.6;50.60188630240449;2.9187533390854803;Parfaite;Numéro de rue;302;Lycée d'enseignement général;1;Ouvert;59;32;09;50.6018863024, 2.91875333909
0592946G;Collège privé Saint Charles;COLLEGE PRIVE;SAINT CHARLES;Privé;31  RUE DECEUNINCK;;;59280;ARMENTIERES;691777.6;7065303.1;50.6844970184694;2.8838596346274583;Correcte;Numéro de rue;340;Collège;1;Ouvert;59;32;09;50.6844970185, 2.88385963463
